category,client,Human,customer,software,Work,process,other,Management,sale,plan,system,record,change,Singapore,talent,company,recruitment,Photoshop,office,opportunity,knowledge,Responsibilities,cloud,code,Adobe,team,Java,visual,solution,target,Software,technical,good,web,game,year,design,Business,level,such,s,experience,strong,Excellent,technology,digital,work,material,content,service,information,@,strategy,candidate,understanding,industry,project,business,activity,Design,performance,Job,user,platform,Requirements,market,Development,graphic,asset,’,Salary,test,Experience,creative,creation,employee,Diploma,Good,HR,/,art,application,Computer,ability,Sales,environment,management,No,medium,initiative,duty,order,ByteDance,relationship,communication,need,new,job,Art,tool,product,Location,video,training,skill,requirement,account,EA,quality,role,matter,development,Strong,marketing,resume,data
sales,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
sales,1,0,2,0,0,0,2,0,9,0,0,1,0,0,0,3,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,145,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,28,2,0,0,5,1,1,0,0,0,0,0,0,0,1,0,2,0,7,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,1,1
arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
hr,0,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,70,1,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,8,40,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,4,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
sales,3,0,1,0,0,3,0,0,4,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,1,1,1,207,3,0,0,2,0,4,1,0,1,3,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,100,4,0,0,1,3,0,4,1,1,0,0,0,0,0,1,3,2,4,0,0,0,1,0,1,3,0,0,0,1,2,1,0,1,0,0,2
hr,7,1,1,0,1,4,1,0,0,1,0,0,1,4,3,0,6,0,0,2,0,1,0,0,0,3,0,0,2,0,0,0,1,0,0,0,1,0,1,1,210,0,5,1,1,0,4,0,0,1,1,0,2,6,0,0,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,2,103,4,1,0,7,0,2,1,0,0,1,0,0,0,2,2,3,1,3,0,1,0,0,0,0,4,0,0,0,1,4,0,0,1,0,0,0
software+engineer,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,5,0,0,1,0,0,0,92,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,45,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,4,0,1,1,2
arts,5,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,239,5,1,1,3,2,11,0,0,1,0,0,2,0,3,0,1,2,0,1,0,0,0,3,0,1,0,0,0,5,0,0,1,19,0,0,0,0,0,114,8,0,0,2,0,0,0,1,0,0,0,1,0,2,0,1,1,5,1,0,3,0,1,0,2,0,0,0,1,0,0,4,0,1,0,0
sales,4,0,0,0,1,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,1,1,0,97,2,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,6,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,44,1,0,0,1,0,0,2,0,0,2,0,0,0,4,0,0,5,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,0
hr,3,0,0,0,2,8,2,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,2,1,0,189,8,0,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,2,0,0,5,58,6,1,0,1,2,0,1,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,2,4,0,0,0,0,0,0,1,1,0,0,1
arts,0,0,0,0,1,1,2,0,0,4,0,1,8,1,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,161,4,0,1,6,1,1,1,0,0,2,0,0,2,0,0,6,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,3,0,1,9,2,0,4,0,0,0,0,11,3,3,3,0,1,0,0,0,4,3,0,0,1,0,0,1,0,3,0,1,2
hr,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,25,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0
software+engineer,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,100,0,0,0,0,1,2,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,57,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,1,1,0,0,0,0,0,0,1,2,1,3,0,0,3,1
arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arts,3,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,2,0,0,9,0,0,2,103,2,1,1,0,2,2,1,0,0,0,0,0,2,1,0,0,0,0,5,0,3,0,0,1,0,0,3,1,1,0,0,0,1,0,0,0,0,0,75,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0
arts,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,44,0,0,0,0,1,0,1,1,0,0,1,0,1,2,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
